SYP,ليرة سوريّة,
Financial Year Begins On,تبدأ السنة الماليّة بتاريخ,
Generate Demo Data for Exploration,إنشاء بيانات وهمية لاستكشاف النظام,
"If checked, we will create demo data for you to explore the system. This demo data can be erased later.","في حال تحديد هذا الاختيار، سنقوم بإنشاء بيانات وهمية لاستكشاف النظام. يمكن حذف هذه البيانات لاحقاً.",
Setup your organization,إعداد منشأتك,
Collapse All,إغلاق الكل,
View Chart of Accounts,عرض شجرة الحسابات,
Home,الرئيسية,
Documentation,التوثيق,
User Forum,منتدى المستخدمين,
Frappe School,مدرسة فرابيه,
Report an Issue,التبليغ عن مشكلة,
About,حول النظام,
Frappe Support,دعم فرابيه,
Linkedin,لنكدإن,
YouTube,يوتيوب,
Reports & Masters,التقارير والبيانات الرئيسيّة,
Delivery Manager,مدير توصيل,
Clear Demo Data,حذف البيانات التجريبيّة,
View,عرض,
Chart of Accounts Importer,استيراد شجرة الحسابات,
Balance Sheet,الميزانية العمومية,
General Ledger,دفتر الأستاذ,
Customer Ledger Summary,ذمم مدينة,
Supplier Ledger Summary,ذمم دائنة,
Trial Balance,ميزان المراجعة,
Cash Flow,التدفقات النقدية,
Cash Flow Statement,قائمة التدفقات النقدية,
Financial Reports,التقارير المالية,
Trial Balance for Party,ميزان المراجعة لجهة معينة,
Payment Period Based On Invoice Date,فترة السداد بناءً على تاريخ الفاتورة,
Ledgers,الدفاتر,
Party,الجهة المعنية,
Party Name,اسم الجهة,
Party Type,نوع الجهة,
Please select Party Type first,يرجى تحديد نوع الجهة أولاً,
